,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
20,"PÉREZ OCHOA, CARLOS ANDRÉS",ACCIÓN POPULAR,LIMA PROVINCIAS,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-ANCASH,01306015500-2018-0003750002,2019-03-21,FORMALIZA INVESTIGACION PREPARATORIA,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
21,"TROYES DELGADO, HANS",ACCIÓN POPULAR,CAJAMARCA,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LAMBAYEQUE,02406075500-2019-0001020000,2019-03-14,CON INVESTIGACION PRELIMINAR,PECULADO (MALVERSACION DE BIENES O DINERO PUBLICO)
22,"BENAVIDES GAVIDIA, WALTER",APP,CAJAMARCA,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LAMBAYEQUE,02406075500-2019-0000930000,2019-03-12,CON INVESTIGACION PRELIMINAR,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
23,"BENAVIDES GAVIDIA, WALTER",APP,CAJAMARCA,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LAMBAYEQUE,02406075500-2019-0000950000,2019-03-12,CON INVESTIGACION PRELIMINAR,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
24,"DIOSES GUZMÁN, LUIS REYMUNDO",SOMOS PERÚ,PIURA,2 FISCALIA SUPERIOR PENAL DE LIQUIDACION DE PIURA,02606065500-2015-0003690001,2019-03-05,RECEPCION DE SOLICITUD DE CONSULTA,CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
25,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA SUPERIOR ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LORETO,02506015500-2015-0001870001,2019-02-26,SOLICITUD DE EXCLUSION FISCAL PENDIENTE,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
26,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2019-0000440000,2019-02-26,EN CALIFICACION (CALIFICA),CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
27,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2019-0000430000,2019-02-25,DENUNCIA PENDIENTE,PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
28,"TITO ORTEGA, ERWIN",FUERZA POPULAR,JUNÍN,3 FISCALIA SUPERIOR PENAL DEL CALLAO ,00906010113-2015-0000880001,2019-02-04,CALIFICA APELACION (EXPEDIENTE),CONTRA LA FE PUBLICA (FALSIFICACION DOCUMENTARIA)
29,"PÉREZ OCHOA, CARLOS ANDRÉS",ACCIÓN POPULAR,LIMA PROVINCIAS,1 FISCALIA SUPERIOR ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE ANCASH,01306015500-2018-0003750001,2019-01-31,IMPUGNACION RESUELTA - FISCAL SUPERIOR,CORRUPCION DE FUNCIONARIOS (NEGOCIACION INCOMPATIBLE O APROVECHAMIENTO INDEBIDO DE CARGO)
30,"PÉREZ MIMBELA, JHOSEPT AMADO",APP,ANCASH,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CASMA ,03106024501-2019-0000410000,2019-01-15,DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
31,"HIDALGO ZAMALLOA, ALEXANDER",APP,CUSCO,3 FISCALIA SUPERIOR PENAL DEL CUSCO,01806105500-2017-0001040008,2019-01-10,SOLICITUD APELACION PENDIENTE (EXPEDIENTE),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
32,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014501-2019-0004630000,2019-01-09,DENUNCIA PENDIENTE,RESISTENCIA O DESOBEDIENCIA A LA AUTORIDAD
33,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,19 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010119-2019-0000080000,2019-01-03,DENUNCIA PENDIENTE,FALSEDAD IDEOLOGICA INSERTA O HACE INSERTAR EN INSTRUMENTO PUBLICO DECLARACIONES FALSAS
34,"QUISPE SUÁREZ, MARIO JAVIER",APP,PIURA,3 FISCALIA SUPERIOR PENAL DE NCPP DE PIURA,02606054502-2013-0003500004,2019-01-03,AUDIENCIA DE APELACION,VIOLACION A LA LIBERTAD AL TRABAJO (IMPEDIMENTOAINTEGRARSINDICATO)
35,"PÉREZ OCHOA, CARLOS ANDRÉS",ACCIÓN POPULAR,LIMA PROVINCIAS,4 FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUARAZ ,01306014504-2018-0013660000,2018-12-28,DENUNCIA PENDIENTE,OMISION ILEGAL DE ACTO DE SU CARGO
36,"VÁSQUEZ TAN, GRIMALDO",SOMOS PERÚ,AMAZONAS,FISCALIA PROVINCIAL PENAL ESPECIALIZADA EN ANTICORRUPCION - CHACHAPOYAS,01206015500-2018-0001310000,2018-12-27,DENUNCIA PENDIENTE,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
37,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,AREQUIPA,1 FISCALIA SUPERIOR NACIONAL ESPECIALIZADA EN DELITOS DE LAVADO DE ACTIVOS Y PERDIDA DE DOMINIO,00505015701-2018-0000430000,2018-12-17,IMPUGNACION RESUELTA - FISCAL SUPERIOR,LAVADO DE ACTIVOS
38,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,1 FISCALIA PROVINCIAL DE PREVENCION DEL DELITO DE LORETO ,02506014901-2018-0004580000,2018-12-07,CON ARCHIVO DEFINITIVO (INV. PREVEN.),ABUSO DE AUTORIDAD
39,"HIDALGO ZAMALLOA, ALEXANDER",APP,CUSCO,3 FISCALIA SUPERIOR PENAL DEL CUSCO,01806105500-2017-0001040007,2018-12-06,APELACION RESUELTA (EXPEDIENTE),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
40,"ESPINOZA VELARDE, YEREMI ARON",PODEMOS,LIMA,3 FISCALIA PROVINCIAL MIXTA DE SAN JUAN DE LURIGANCHO,00506010617-2018-0028620000,2018-12-05,DENUNCIA PENDIENTE,DELITOS CONTRA LA FE PUBLICA
41,"ACUÑA PERALTA, HUMBERTO",APP,LAMBAYEQUE,FISCALIA CORPORATIVA DE PREVENCION DEL DELITO DE LAMBAYEQUE,02406074504-2018-0004640000,2018-12-05,DENUNCIA PENDIENTE,USURPACION (AGENTE CON VIOLENCIA O AMENAZA TURBA POSESION DE INMUEBLE)
42,"PUÑO LECARNAQUE, NAPOLEÓN",APP,TUMBES,2 FISCALIA SUPERIOR PENAL TRANSITORIA DE TUMBES,03506015500-2015-0000110001,2018-12-05,AUDIENCIA DE APELACION,CONCUSION (COLUSION ILEGAL)
43,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014502-2018-0023190000,2018-12-04,DENUNCIA PENDIENTE,ABUSO DE AUTORIDAD
44,"BENAVIDES GAVIDIA, WALTER",APP,CAJAMARCA,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CUTERVO,02406024502-2018-0005690000,2018-11-27,CON ARCHIVO (PRELIMINAR),ABUSO DE AUTORIDAD
45,"ESPINOZA VELARDE, YEREMI ARON",PODEMOS,LIMA,2 FISCALIA SUPERIOR EN LO PENAL DE LIMA,00505010102-2018-0010480001,2018-11-27,EXPED. PENDIENTE,FALSIFICACION DOCUMENTARIA HACE EN TODO O PARTE UN DOCUMENTO FALSO O ADULTERA UNO VERDADERO
46,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,7 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014507-2018-0021300000,2018-11-27,CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
47,"MESÍA RAMIREZ, CARLOS FERNANDO",FUERZA POPULAR,LIMA,1 FISCALIA PROVINCIAL PENAL DE CHORRILLOS,00706040101-2018-0026430000,2018-11-24,DENUNCIA PENDIENTE,FRAUDE PROCESAL
48,"HIDALGO ZAMALLOA, ALEXANDER",APP,CUSCO,3 FISCALIA SUPERIOR PENAL DEL CUSCO,01806105500-2017-0001040006,2018-11-23,APELACION RESUELTA (EXPEDIENTE),PECULADO (APROPIACION O UTILIZACION CULPOSA DE CAUDALES DESTINADOS A ASISTENCIA SOCIAL)
49,"BENAVIDES GAVIDIA, WALTER",APP,CAJAMARCA,FISCALIA PROVINCIAL ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-CAJAMARCA,01706045500-2018-0002850000,2018-11-22,DERIVADO (CALIFICA),CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
50,"URRESTI ELERA, DANIEL BELIZARIO",PODEMOS,LIMA,FISCALIA PROVINCIAL PENAL ESPECIALIZADA EN MATERIA AMBIENTAL,00506010170-2018-0004520000,2018-11-09,CON RESOLUCION EMITIDA,CONTAMINACION (INCUMPLIMIENTO DE NORMAS RELATIVAS AL MANEJO DE RESIDUOS SOLIDOS CONTRAVINIENDO LE
51,"VEGA ANTONIO, JOSÉ ALEJANDRO",UPP,LIMA,43 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010143-2018-0010870000,2018-11-08,DENUNCIA PENDIENTE,CONTRA LA FE PUBLICA (FALSEDAD IDEOLOGICA INSERTA O HACE INSERTAR EN INSTRUMENTO PUBLICO DECLARACIONES FALSAS
52,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014504-2018-0074550000,2018-11-06,CON INVESTIGACION PRELIMINAR,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
53,"PÉREZ OCHOA, CARLOS ANDRÉS",ACCIÓN POPULAR,LIMA PROVINCIAS,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-ANCASH,01306015500-2018-0007820000,2018-11-05,CON INVESTIGACION PRELIMINAR,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
54,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,AREQUIPA,1 FISCALIA SUPERIOR ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS DE LIMA,00506015505-2017-0002010016,2018-10-29,AUDIENCIA DE APELACION,PECULADO (PECULADO DOLOSO SIMPLE)
55,"COMBINA SALVATIERRA, CÉSAR AUGUSTO",APP,JUNÍN,6 FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUANCAYO,02206014506-2018-0021930000,2018-10-25,CON INVESTIGACION PRELIMINAR,LAVADO DE ACTIVOS
56,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,8 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014508-2018-0016450000,2018-10-24,CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
57,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,8 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014508-2018-0016780000,2018-10-24,CON ARCHIVO (CALIFICA),DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS
58,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,4 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014504-2018-0023960000,2018-10-23,DENUNCIA PENDIENTE,VIOLACION DE LA LIBERTAD DE TRABAJO
59,"AGUILAR ZAMORA, MANUEL",ACCIÓN POPULAR,SAN MARTÍN,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MOYOBAMBA,02806014501-2018-0006970000,2018-10-22,DENUNCIA PENDIENTE,DELITOS CONTRA LA VOLUNTAD POPULAR
60,"DIOSES GUZMÁN, LUIS REYMUNDO",SOMOS PERÚ,PIURA,2 FISCALIA SUPERIOR PENAL DE LIQUIDACION DE PIURA,02606054502-2012-0007140001,2018-10-19,AUDIENCIA DE APELACION,CONCUSION (COLUSION ILEGAL)
61,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,FISCALIA PROVINCIAL PENAL CORPORATIVA DE ASCOPE,02306024500-2018-0012950000,2018-10-18,DENUNCIA PENDIENTE,OMISION ACTOS FUNCIONALES-1ERPARRAFO - FUNCIONARIO PUBLICO QUE
62,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,8 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014508-2018-0015960000,2018-10-17,CON INVESTIGACION PRELIMINAR,ABUSO DE AUTORIDAD
63,"ALMERI VERAMENDI, CARLOS ALBERTO",PODEMOS,LIMA PROVINCIAS,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CONDEVILLA,00606034503-2018-0002460000,2018-10-15,EN CALIFICACION (CALIFICA),LESIONES
64,"RODAS MALCA, TANIA ROSALIA",APP,LA LIBERTAD,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014504-2018-0063070000,2018-10-12,CON INVESTIGACION PRELIMINAR,CONTRA LA FE PUBLICA (DOCUMENTO PUBLICO REGISTRO PUBLICO TITULO AUTENTICO O CUALQUIER OTRO TRANSMISIBLE POR E
65,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014504-2018-0071790000,2018-10-10,CON ARCHIVO (CALIFICA),DELITO CONTRA LA ADMINISTRACION PUBLICA
66,"MACHACA MAMANI, RAÚL",FREPAP,TACNA,FISCALIA PROVINCIAL ESPECIALIZADA EN MATERIA AMBIENTAL DE PUNO ,02706015200-2018-0001630000,2018-10-04,CON INVESTIGACION PRELIMINAR,CONTAMINACION DEL AMBIENTE DOLOSO
67,"MACHACA MAMANI, RAÚL",FREPAP,TACNA,FISCALIA PROVINCIAL ESPECIALIZADA EN MATERIA AMBIENTAL DE PUNO ,02706015200-2018-0001620000,2018-10-03,EN CALIFICACION (CALIFICA),MINERIA ILEGAL ( CULPOSO)
68,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,3 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014504-2018-0074560000,2018-10-03,EN CALIFICACION (CALIFICA),DELITO CONTRA LA ADMINISTRACION PUBLICA
69,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,4 FISCALIA SUPERIOR PENAL DE LA LIBERTAD,02306015500-2016-0003120002,2018-10-02,AUDIENCIA DE APELACION,CORRUPCION DE FUNCIONARIOS (CORRUPCION DE FUNCIONARIO PUBLICO)
70,"MAQUERA CHAVEZ, HÉCTOR SIMON",UPP,TACNA,1 FISCALIA PROVINCIAL PENAL CORPORATIVA DE CARABAYLLO,00606054501-2018-0005140000,2018-09-23,DENUNCIA PENDIENTE,OMISION DE ASISTENCIA FAMILIAR
71,"GARCÍA OVIEDO, PAUL GABRIEL",ACCIÓN POPULAR,CALLAO,10 FISCALIA PROVINCIAL PENAL CORPORATIVA DEL CALLAO ,00906014510-2018-0016420000,2018-09-11,CON ARCHIVO (PRELIMINAR),FALSIFICACION DE DOCUMENTOS EN GENERAL
72,"PÉREZ OCHOA, CARLOS ANDRÉS",ACCIÓN POPULAR,LIMA PROVINCIAS,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-ANCASH,01306015500-2017-0006910001,2018-09-04,CON ARCHIVO (PRELIMINAR),CORRUPCION DE FUNCIONARIOS (CORRUPCION DE FUNCIONARIO PUBLICO)
73,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2018-0002070000,2018-09-04,ASIGNADO PNP (PRELIMINAR),CONCUSION (COLUSION CON DEFRAUDACION PATRIMONIAL AL ESTADO)
74,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,5 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014505-2018-0017380000,2018-09-03,CON INVESTIGACION PRELIMINAR,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
75,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,5 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014505-2018-0017370000,2018-09-03,CON INVESTIGACION PRELIMINAR,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
76,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,FISCALIA PROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS-LORETO,02506015500-2018-0001940000,2018-09-03,ASIGNADO PNP (PRELIMINAR),CONCUSION (PATROCINIO ILEGAL)
77,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,5 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014505-2018-0014490000,2018-09-03,CON INVESTIGACION PRELIMINAR,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
78,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,5 FISCALIA PROVINCIAL PENAL CORPORATIVA DE MAYNAS ,02506014505-2018-0014500000,2018-09-03,CON INVESTIGACION PRELIMINAR,VIOLACION A LA LIBERTAD AL TRABAJO - COACCION LABORAL (INCUMPLE RESOLUCIONES CONSENTIDAS O EJECUTORIADAS)
79,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,4 FISCALIA SUPERIOR PENAL DE LA LIBERTAD,02306015500-2016-0003120001,2018-08-28,AUDIENCIA DE APELACION,CORRUPCION DE FUNCIONARIOS (CORRUPCION DE FUNCIONARIO PUBLICO)
80,"PÉREZ OCHOA, CARLOS ANDRÉS",ACCIÓN POPULAR,LIMA PROVINCIAS,4 FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUARAZ ,01306014504-2018-0008390000,2018-08-27,CON INVESTIGACION PRELIMINAR,OMISION ACTOS FUNCIONALES-1ERPARRAFO - FUNCIONARIO PUBLICO QUE
81,"ALARCÓN TEJADA, EDGAR ARNOLD",UPP,AREQUIPA,18 FISCALIA PROVINCIAL EN LO PENAL DE LIMA,00506010118-2018-0006660000,2018-08-27,INVESTIGACION POLICIAL,CONTRA LA FE PUBLICA (COMETE FALSEDAD SIMULANDO SUPONIENDO ALTERANDO LA VERDAD INTENCIONALMENTE Y CON PERJUIC
82,"MELÉNDEZ CELIS, FERNANDO",APP,LORETO,4 FISCALIA SUPERIOR PENAL DE LORETO ,02506015100-2014-0002420003,2018-08-24,AUDIENCIA DE APELACION,TRAFICO ILICITO DE DROGAS (LAVADO DE ACTIVOS - LEY 27765)
83,"COMBINA SALVATIERRA, CÉSAR AUGUSTO",APP,JUNÍN,2 FISCALIA SUPERIOR PENAL DE JUNIN,02206015600-2018-0000250003,2018-08-22,RECEPCION DE SOLICITUD DE CONSULTA,USURPACION AGRAVADA (ABUSANDO DE CONDICION O CARGO DE FUNCIONARIO O SERVIDOR PUBLICO)
84,"VALDEZ FARÍAS, LUIS ALBERTO",APP,LA LIBERTAD,2 FISCALIA PROVINCIAL PENAL CORPORATIVA DE TRUJILLO,02306014502-2018-0053210000,2018-08-21,DENUNCIA PENDIENTE,OMISION ACTOS FUNCIONALES-1ERPARRAFO - FUNCIONARIO PUBLICO QUE
